Nom de la région;Code département;Nom de la commune;Population totale
Colmar;68;Grand Est;71445
Colombes;92;Île-de-France;86050
Colomiers;31;Occitanie;39200
Compiègne;60;Hauts-de-France;41660
Conflans-Sainte-Honorine;78;Île-de-France;36058
Corbeil-Essonnes;91;Île-de-France;51682
Courbevoie;92;Île-de-France;82351
Creil;60;Hauts-de-France;36091
Créteil;94;Île-de-France;90052
Dieppe;76;Normandie;30588
Dijon;21;Bourgogne-Franche-Comté;159031
Douai;59;Hauts-de-France;40860
Draguignan;83;Provence-Alpes-Côte d'Azur;40928
Drancy;93;Île-de-France;70883
Draveil;91;Île-de-France;29558
Dreux;28;Centre-Val de Loire;31575
Dunkerque;59;Hauts-de-France;89485
Décines-Charpieu;69;Auvergne-Rhône-Alpes;28249
Eaubonne;95;Île-de-France;25514
Ermont;95;Île-de-France;29400
Fontenay-sous-Bois;94;Île-de-France;53968
Fort-de-France;972;Martinique;82030
Franconville;95;Île-de-France;36349
Fresnes;94;Île-de-France;27556
Fréjus;83;Provence-Alpes-Côte d'Azur;54023
Gagny;93;Île-de-France;39391
Gap;05;Provence-Alpes-Côte d'Azur;42567
Garges-lès-Gonesse;95;Île-de-France;42821
Gennevilliers;92;Île-de-France;46939
Gonesse;95;Île-de-France;26556
Goussainville;95;Île-de-France;31167
Gradignan;33;Nouvelle-Aquitaine;26029
Grasse;06;Provence-Alpes-Côte d'Azur;51705
Grenoble;38;Auvergne-Rhône-Alpes;160836
Grigny;91;Île-de-France;29118
Guyancourt;78;Île-de-France;28839
Haguenau;67;Grand Est;35024
Herblay;95;Île-de-France;29614
Houilles;78;Île-de-France;32064
Hyères;83;Provence-Alpes-Côte d'Azur;56799
Hénin-Beaumont;62;Hauts-de-France;26260
Illkirch-Graffenstaden;67;Grand Est;27505
Issy-les-Moulineaux;92;Île-de-France;69231
Istres;13;Provence-Alpes-Côte d'Azur;44248
Ivry-sur-Seine;94;Île-de-France;61099
Joué-lès-Tours;37;Centre-Val de Loire;37974
Kourou;973;Guyane;26726
L' Haÿ-les-Roses;94;Île-de-France;31416
La Ciotat;13;Provence-Alpes-Côte d'Azur;35758
La Courneuve;93;Île-de-France;42712
La Garde;83;Provence-Alpes-Côte d'Azur;25645
La Garenne-Colombes;92;Île-de-France;29503
La Possession;974;La Réunion;33337
La Roche-sur-Yon;85;Pays de la Loire;56991
La Rochelle;17;Nouvelle-Aquitaine;78623
La Seyne-sur-Mer;83;Provence-Alpes-Côte d'Azur;65386
La Teste-de-Buch;33;Nouvelle-Aquitaine;26525
Lambersart;59;Hauts-de-France;28027
Laon;02;Hauts-de-France;26031
Laval;53;Pays de la Loire;52359
Le Blanc-Mesnil;93;Île-de-France;56346
Le Cannet;06;Provence-Alpes-Côte d'Azur;42056
Le Chesnay;78;Île-de-France;28558
Le Gosier;971;Guadeloupe;27023
Le Grand-Quevilly;76;Normandie;26175
Le Havre;76;Normandie;172769
Le Kremlin-Bicêtre;94;Île-de-France;25422
Le Lamentin;972;Martinique;40920
Le Mans;72;Pays de la Loire;146804
Le Perreux-sur-Marne;94;Île-de-France;34017
Le Plessis-Robinson;92;Île-de-France;29192
Le Port;974;La Réunion;35141
Le Tampon;974;La Réunion;78366
Lens;62;Hauts-de-France;31080
Les Abymes;971;Guadeloupe;54818
Les Mureaux;78;Île-de-France;32777
Les Ulis;91;Île-de-France;25031
Levallois-Perret;92;Île-de-France;64028
Libourne;33;Nouvelle-Aquitaine;25491
Lille;59;Hauts-de-France;236782
Limeil-Brévannes;94;Île-de-France;26901
Limoges;87;Nouvelle-Aquitaine;135140
Livry-Gargan;93;Île-de-France;44721
Liévin;62;Hauts-de-France;31337
Lorient;56;Bretagne;58789
Lunel;34;Occitanie;26263
Lyon 1er Arrondissement;69;Auvergne-Rhône-Alpes;30423
Lyon 2e Arrondissement;69;Auvergne-Rhône-Alpes;30857
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;103506
Lyon 4e Arrondissement;69;Auvergne-Rhône-Alpes;36524
Lyon 5e Arrondissement;69;Auvergne-Rhône-Alpes;49998
Lyon 6e Arrondissement;69;Auvergne-Rhône-Alpes;52282
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82651
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;85610
Lyon 9e Arrondissement;69;Auvergne-Rhône-Alpes;51313
Maisons-Alfort;94;Île-de-France;55816
Malakoff;92;Île-de-France;30286
Mantes-la-Jolie;78;Île-de-France;44231
Marcq-en-Barœul;59;Hauts-de-France;39697
Marignane;13;Provence-Alpes-Côte d'Azur;33949
Marseille;13;Provence-Alpes-Côte d'Azur;870018
Martigues;13;Provence-Alpes-Côte d'Azur;49310
Massy;91;Île-de-France;50549
Matoury;973;Guyane;32768
Maubeuge;59;Hauts-de-France;29995
Meaux;77;Île-de-France;56249
Melun;77;Île-de-France;41183
Menton;06;Provence-Alpes-Côte d'Azur;28942
Metz;57;Grand Est;119856
Meudon;92;Île-de-France;46014
Meyzieu;69;Auvergne-Rhône-Alpes;33351
Miramas;13;Provence-Alpes-Côte d'Azur;26217
Mont-de-Marsan;40;Nouvelle-Aquitaine;31517
Montauban;82;Occitanie;61978
Montbéliard;25;Bourgogne-Franche-Comté;26015
Montfermeil;93;Île-de-France;26262
Montigny-le-Bretonneux;78;Île-de-France;33535
Montluçon;03;Auvergne-Rhône-Alpes;37417
Montpellier;34;Occitanie;286098
Montreuil;93;Île-de-France;109235
Montrouge;92;Île-de-France;49372
Montélimar;26;Auvergne-Rhône-Alpes;39924
Mulhouse;68;Grand Est;110468
Muret;31;Occitanie;25961
Mâcon;71;Bourgogne-Franche-Comté;34448
Mérignac;33;Nouvelle-Aquitaine;71203
Nancy;54;Grand Est;106953
Nanterre;92;Île-de-France;96321
Nantes;44;Pays de la Loire;314611
Narbonne;11;Occitanie;55001
Neuilly-sur-Marne;93;Île-de-France;34859
Neuilly-sur-Seine;92;Île-de-France;61501
Nevers;58;Bourgogne-Franche-Comté;34799
Nice;06;Provence-Alpes-Côte d'Azur;345998
Niort;79;Nouvelle-Aquitaine;61044
Nogent-sur-Marne;94;Île-de-France;32195
Noisy-le-Grand;93;Île-de-France;67086
Noisy-le-Sec;93;Île-de-France;43693
Nîmes;30;Occitanie;154196
Orange;84;Provence-Alpes-Côte d'Azur;29856
Orléans;45;Centre-Val de Loire;118102
Orvault;44;Pays de la Loire;26618
Oullins;69;Auvergne-Rhône-Alpes;26838
Palaiseau;91;Île-de-France;34954
Pantin;93;Île-de-France;55585
Paris;75;Île-de-France;2210875
Pau;64;Nouvelle-Aquitaine;79022
Perpignan;66;Occitanie;123602
Pessac;33;Nouvelle-Aquitaine;62737
Pierrefitte-sur-Seine;93;Île-de-France;29728
Plaisir;78;Île-de-France;32128
Poissy;78;Île-de-France;37524
Poitiers;86;Nouvelle-Aquitaine;90590
Pontault-Combault;77;Île-de-France;38587
Pontoise;95;Île-de-France;31880
Puteaux;92;Île-de-France;44941
Périgueux;24;Nouvelle-Aquitaine;31505
Quimper;29;Bretagne;66743
Rambouillet;78;Île-de-France;26781
Reims;51;Grand Est;187074
Remire-Montjoly;973;Guyane;26170
Rennes;35;Bretagne;222104
Rezé;44;Pays de la Loire;41808
Rillieux-la-Pape;69;Auvergne-Rhône-Alpes;30275
Ris-Orangis;91;Île-de-France;29040
Roanne;42;Auvergne-Rhône-Alpes;35913
Rodez;12;Occitanie;25747
Romainville;93;Île-de-France;26640
Romans-sur-Isère;26;Auvergne-Rhône-Alpes;34095
Rosny-sous-Bois;93;Île-de-France;45663
Roubaix;59;Hauts-de-France;96953
Rouen;76;Normandie;112596
Rueil-Malmaison;92;Île-de-France;79783
Saint-André;974;La Réunion;56088
Saint-Benoît;974;La Réunion;38466
Saint-Brieuc;22;Bretagne;47058
Saint-Chamond;42;Auvergne-Rhône-Alpes;35969
Saint-Cloud;92;Île-de-France;30797
Saint-Denis;93;Île-de-France;112309
Saint-Denis;974;La Réunion;149337
Saint-Dizier;52;Grand Est;25666
Saint-Germain-en-Laye;78;Île-de-France;41749
Saint-Herblain;44;Pays de la Loire;47502
Saint-Joseph;974;La Réunion;38167
Saint-Laurent-du-Maroni;973;Guyane;44130
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28831
Saint-Leu;974;La Réunion;34160
Saint-Louis;974;La Réunion;53832
Saint-Malo;35;Bretagne;47528
Saint-Martin-d'Hères;38;Auvergne-Rhône-Alpes;38974
Saint-Maur-des-Fossés;94;Île-de-France;75833
Saint-Médard-en-Jalles;33;Nouvelle-Aquitaine;31576
Saint-Nazaire;44;Pays de la Loire;72295
Saint-Ouen;93;Île-de-France;49949
Saint-Paul;974;La Réunion;106920
Saint-Pierre;974;La Réunion;85059
Saint-Priest;69;Auvergne-Rhône-Alpes;46153
Saint-Quentin;02;Hauts-de-France;55940
Saint-Raphaël;83;Provence-Alpes-Côte d'Azur;35826
Saint-Sébastien-sur-Loire;44;Pays de la Loire;27591
Saint-Étienne;42;Auvergne-Rhône-Alpes;174298
Saint-Étienne-du-Rouvray;76;Normandie;29180
Sainte-Geneviève-des-Bois;91;Île-de-France;36219
Sainte-Marie;974;La Réunion;33587
Saintes;17;Nouvelle-Aquitaine;26890
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;46225
Sannois;95;Île-de-France;27118
Sarcelles;95;Île-de-France;58332
Sartrouville;78;Île-de-France;53237
Saumur;49;Pays de la Loire;28554
Savigny-le-Temple;77;Île-de-France;30352
Savigny-sur-Orge;91;Île-de-France;36677
Schiltigheim;67;Grand Est;32024
Sens;89;Bourgogne-Franche-Comté;26688
Sevran;93;Île-de-France;50888
Six-Fours-les-Plages;83;Provence-Alpes-Côte d'Azur;33904
Soissons;02;Hauts-de-France;29417
Sotteville-lès-Rouen;76;Normandie;29766
Stains;93;Île-de-France;39776
Strasbourg;67;Grand Est;283515
Sucy-en-Brie;94;Île-de-France;26575
Suresnes;92;Île-de-France;49145
Sète;34;Occitanie;44271
Sèvremoine;49;Pays de la Loire;26239
Talence;33;Nouvelle-Aquitaine;44040
Tarbes;65;Occitanie;41862
Taverny;95;Île-de-France;26541
Thiais;94;Île-de-France;29295
Thionville;57;Grand Est;41396
Thonon-les-Bains;74;Auvergne-Rhône-Alpes;36296
Toulon;83;Provence-Alpes-Côte d'Azur;171643
Toulouse;31;Occitanie;482738
Tourcoing;59;Hauts-de-France;98170
Tournefeuille;31;Occitanie;27008
Tours;37;Centre-Val de Loire;139963
Trappes;78;Île-de-France;32931
Tremblay-en-France;93;Île-de-France;35866
Troyes;10;Grand Est;61988
Valence;26;Auvergne-Rhône-Alpes;64322
Valenciennes;59;Hauts-de-France;44509
Vallauris;06;Provence-Alpes-Côte d'Azur;26787
Vandœuvre-lès-Nancy;54;Grand Est;30502
Vannes;56;Bretagne;55573
Vanves;92;Île-de-France;28148
Vaulx-en-Velin;69;Auvergne-Rhône-Alpes;48906
Versailles;78;Île-de-France;87315
Vienne;38;Auvergne-Rhône-Alpes;30178
Vierzon;18;Centre-Val de Loire;27036
Vigneux-sur-Seine;91;Île-de-France;31488
Villefranche-sur-Saône;69;Auvergne-Rhône-Alpes;37783
Villejuif;94;Île-de-France;55805
Villemomble;93;Île-de-France;30227
Villenave-d'Ornon;33;Nouvelle-Aquitaine;33091
Villeneuve-Saint-Georges;94;Île-de-France;33135
Villeneuve-d'Ascq;59;Hauts-de-France;63085
Villeparisis;77;Île-de-France;26507
Villepinte;93;Île-de-France;36809
Villeurbanne;69;Auvergne-Rhône-Alpes;150375
Villiers-le-Bel;95;Île-de-France;27519
Villiers-sur-Marne;94;Île-de-France;29407
Vincennes;94;Île-de-France;50300
Viry-Châtillon;91;Île-de-France;30962
Vitrolles;13;Provence-Alpes-Côte d'Azur;34301
Vitry-sur-Seine;94;Île-de-France;93317
Vénissieux;69;Auvergne-Rhône-Alpes;65822
Wattrelos;59;Hauts-de-France;41570
Yerres;91;Île-de-France;29132
Échirolles;38;Auvergne-Rhône-Alpes;36143
Élancourt;78;Île-de-France;25829
Épinal;88;Grand Est;33454
Épinay-sur-Seine;93;Île-de-France;55754
Évreux;27;Normandie;51560
Évry;91;Île-de-France;55425
